id	family	type	hard_gate	portfolio	canonical	short_claim
H4-E01	semaev-tree	ATTACK	REFORMULATE	DEFERRED	-	Balanced S3 trees have a lower elimination-width slope than caterpillar trees.
H4-E02	signed-coordinates	ATTACK	PASS	DEFERRED	-	Signed group-law systems have a lower solving slope than exact x-only Semaev systems.
H4-E03	one-system-index-calculus	ATTACK	REFORMULATE	DEFERRED	-	A single Amadori-style system beats relation collection plus sparse linear algebra end to end.
H4-E04	hybrid-resultant	ATTACK	PASS	DEFERRED	-	A frozen-leaf resultant or GCD split has a lower full-cost slope than joint Groebner solving.
H4-E05	nonsplit-torus-trace	ATTACK	REFORMULATE	SHORTLIST	HYP-PPLUS1-TRACE-RELATION-001	A p+1 norm-one-torus trace factor base supports a lower-arity relation pipeline with sub-Pollard total cost.
H4-E06	coset-factor-base	ATTACK	PASS	DEFERRED	-	A union of multiplicative cosets with a shared circuit beats one subgroup of equal cardinality.
H4-E07	additive-energy	ATTACK	PASS	DEFERRED	-	A target-independent factor base with high elliptic additive energy yields more independent relations per unit cost.
H4-E08	large-prime-variant	ATTACK	REFORMULATE	DEFERRED	-	Partial relations and graph recombination reduce prime-field Semaev relation-collection cost.
H4-E09	auxiliary-curve	ATTACK	REFORMULATE	DEFERRED	-	A bounded CM auxiliary-curve search finds a smooth-order factor and usable self-isogeny chain.
H4-E10	multihomogeneous-groebner	ATTACK	PASS	DEFERRED	-	Block-multihomogeneous F4 has a lower Macaulay slope than total-degree F4 on the same systems.
H4-E11	toric-elimination	ATTACK	PASS	DEFERRED	-	Sparse resultant complexity follows mixed volume and preserves a growing gap over dense elimination.
H4-E12	exceptional-saturation	ATTACK	PASS	DEFERRED	-	Saturating exceptional components before solving lowers degree-of-regularity slope end to end.
H4-E13	hybrid-variable-fixing	ATTACK	PASS	DEFERRED	-	A preregistered enumeration-versus-solving split lowers the optimized full-cost exponent.
H4-E14	rational-univariate	ATTACK	REFORMULATE	DEFERRED	-	A correct zero-dimensional RUR solves relation fibers with lower slope than F4.
H4-E15	specialization-degree-drop	ATTACK	PASS	DEFERRED	-	Factor-base specialization cancels leading coefficients often enough to lower elimination slope.
H4-E16	regular-locus-density	ENABLING	PASS	MERGED	HYP-SEMAEV-RELATION-INCIDENCE-001	The source-faithful regular affine locus has non-collapsing density across field sizes.
H4-E17	repetition-stabilizer	BARRIER	PASS	DEFERRED	-	Naive D^k/k! yield is valid only when D/k grows, quantifying toy-scale bias.
H4-E18	singular-locus	BARRIER	PASS	DEFERRED	-	Jacobian-rank-deficient strata causally control Groebner blow-up and saturation slope.
H4-E19	monodromy-rank	ENABLING	REFORMULATE	DEFERRED	-	Transitive generic-fiber monodromy implies asymptotically independent relation rows.
H4-E20	relation-uniformity	ENABLING	PASS	MERGED	HYP-SEMAEV-RELATION-INCIDENCE-001	Corrected target-fiber counts are asymptotically uniform after repetition adjustment.
H4-E21	exceptional-relations	ATTACK	PASS	DEFERRED	-	Tangent and infinity strata yield cheaper independent rows than the regular locus.
H4-E22	artificial-weil-restriction	ATTACK	KILL	KILLED	-	Artificial extension and Weil restriction reduce the prime-field ECDLP solving exponent.
H4-E23	pseudo-mersenne-bit-descent	ATTACK	REFORMULATE	DEFERRED	-	The sparse modulus produces a bounded-regularity Boolean carry system for Semaev relations.
H4-E24	twist-frobenius-descent	ATTACK	KILL	KILLED	-	A quadratic twist and Frobenius constraints shrink a prime-field relation system.
H4-E25	norm-one-dickson-circuit	ENABLING	PASS	SHORTLIST	HYP-TORUS-CIRCUIT-FIDELITY-001	An arbitrary-order norm-one trace set has an exact reduced bounded-fiber O(log N) circuit.
H4-E26	cm-norm-shell	ATTACK	KILL	KILLED	-	Small CM norm shells define an accessible factor base without knowing scalar coordinates.
H4-E27	glv-trace-norm	ATTACK	KILL	KILLED	-	GLV trace and norm invariants retain phase while reducing relation dimension.
H4-E28	pminus1-m16	ATTACK	REFORMULATE	MERGED	HYP-SEMAEV-RELATION-INCIDENCE-001	The p-1 M16 circuit has per-attempt and end-to-end exponent below known thresholds.
H4-E29	addition-chain-causality	ATTACK	PASS	DEFERRED	-	A subgroup exponentiation DAG has a growing advantage over root, coset, and randomized-DAG controls.
H4-E30	multiplication-map-factor-base	ATTACK	KILL	KILLED	-	A low-degree multiplication map creates a larger easy factor base in the prime-order group.
H4-E31	diagonal-c3-quotient	ATTACK	KILL	KILLED	-	The full diagonal C3 invariant ring changes the ECDLP solving exponent.
H4-E32	structured-factor-base-bound	BARRIER	PASS	DEFERRED	-	A conditional Groebner lower bound extends to subgroup and torus factor bases under a checkable Hilbert condition.
H4-E33	elimination-width	BARRIER	PASS	DEFERRED	-	Every exact S3 tree with membership constraints has linear elimination width or equivalent exponential fill.
H4-E34	complete-cost	BARRIER	PASS	MERGED	HYP-END-TO-END-COST-BRIDGE-001	Yield, rank, recovery, and sparse linear algebra restore the full exponent for tested relation pipelines.
HCS-001	j0-invariantization	ATTACK	KILL	KILLED	-	Replacing x by x cubed lowers degree-of-regularity slope after recovery.
HCS-002	glv-relation-yield	ATTACK	KILL	KILLED	-	GLV closure changes the relation-generation exponent rather than a bounded constant.
HCS-003	glv-rank-amplification	ATTACK	KILL	KILLED	-	One order-three GLV orbit yields a number of independent rows growing with m.
HCS-004	higher-dimensional-glv	ATTACK	KILL	KILLED	-	secp256k1 has more than two independent efficient endomorphisms for higher-dimensional scalar splitting.
HCS-005	endomorphism-ring	BARRIER	KILL	KILLED	-	Hidden endomorphisms outside the known CM ring provide a new subgroup oracle.
HCS-006	growing-cm-shell	ATTACK	REFORMULATE	DEFERRED	-	Growing low-norm CM endomorphism sets give superconstant useful partition gain.
HCS-007	cm-residue-map	ATTACK	KILL	KILLED	-	An explicit CM residue-module map exposes the secret scalar without an equivalent DLP basis.
HCS-008	glv-scalar-split	ATTACK	KILL	KILLED	-	The standard two-dimensional GLV split lowers the ECDLP exponent.
HCS-009	c6-rho	ATTACK	KILL	KILLED	-	Quotienting rho by the full order-six automorphism group lowers the exponent.
