claim_id,batch,source_id,claim_type,formal_status,model,mathlib_area,preconditions,formal_statement,label
shoup-generic-model-001,B01,shoup-1997,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,"In the generic group model over a group of prime order p, any algorithm solving DLP with constant success probability performs Omega(sqrt(p)) group operations.","A generic group algorithm operates on encodings of group elements and accesses group arithmetic through an oracle, without exploiting special properties of the representation beyond unique encodings."
shoup-theorem1-probability-002,B01,shoup-1997,,conditional,oracle_leakage,Mathlib.GroupTheory.OrderOfElement / Subgroup,leakage/oracle_model,"In the generic group model over a group of prime order p, any algorithm solving DLP with constant success probability performs Omega(sqrt(p)) group operations.","For a group of order n whose largest prime divisor is p, Theorem 1 bounds the success probability of a generic algorithm making at most m oracle queries by O(m^2/p) over random encoding and random discrete-log instance."
fhjrv-nonstandard-problems-007,B03,fhjrv-2014,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,"Although the full DLP remains out of reach in the example, the improved relation step is reported to threaten some nonstandard oracle-assisted problems on the same curve."
cheon-oracle-generation-elgamal-007,B05,cheon-2006,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,"For original ElGamal with a decryption oracle, the paper derives successive secret powers and then applies the p-1 or p+1 algorithms under query and divisor bounds."
cheon-single-target-secp-boundary-011,B05,cheon-2006,,conditional,oracle_leakage,Mathlib.AlgebraicGeometry.EllipticCurve,leakage/oracle_model,,The conclusion conditions the speedup on published powers or an oracle returning secret-key powers; therefore the result does not beat Pollard rho for a random single-target secp256k1 ECDLP under the ordinary input model.
cheng-huang-shifting-and-slp-equivalence-010,B06,cheng-huang-partial-lifting-2004,problem_equivalence,conditional,oracle_leakage,(complexity: needs explicit cost model),leakage/oracle_model,,"The shifting-prime and straight-line description problems are polynomial-time equivalent to ECDLP in the oracle-reduction sense stated by the paper, because ECDLP also makes each partial-lifting task easy."
jacobson-xedni-reverse-mestre-heuristic-004,B06,jacobson-xedni-analysis-2000,rank_bias_heuristic,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,The proposed reverse-Mestre conditions constrain reductions at several small auxiliary primes in an attempt to bias the fitted rational curve toward larger rank and thereby increase dependence probability.
lauter-stange-no-residue-bias-evidence-016,B06,lauter-stange-2008,negative_empirical_observation,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,The authors report no evidence that quadratic residues of the relevant EDS terms exhibit a bias away from one half that would directly expose the hidden multiplier.
lauter-stange-parity-oracle-reduction-012,B06,lauter-stange-2008,bit_oracle_reduction,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,An oracle that returns the parity of the minimal discrete logarithm multiplier can be used through repeated point transformations to solve ECDLP with logarithmically many oracle calls and low additional overhead.
lauter-stange-residue-oracle-ecdlp-014,B06,lauter-stange-2008,oracle_reduction,conditional,oracle_leakage,Mathlib.GroupTheory.OrderOfElement / Subgroup,leakage/oracle_model,,An efficient oracle for the defined EDS Residue problem yields an efficient ECDLP algorithm under the source's order and nonresidue conditions.
glv-scalar-bias-warning-023,B07,glv-2001,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,"When lambda satisfies lambda^2+lambda+1 congruent to zero, choosing several small decomposition coefficients first can produce a biased scalar distribution and thereby create a separate cryptographic weakness."
bh-biased-001,B08,breitner-heninger-2019,,conditional,oracle_leakage,(not in Mathlib: lattice reduction),leakage/oracle_model,,Biased ECDSA nonces can expose long-term keys through HNP lattice attacks.
